id,rz,sx,x,cx,reset,measure,u3,u2,u1,measureSuccess,u3Success,u2Success,cxSuccess,rzSuccess,u1Success,resetSuccess,xSuccess,sxSuccess,idSuccess,Machine,GraphDensity,AvgDegree,AvgConnectivity,AvgNeighborDegree,AvgClustering,AvgShortestPath,NumQubit,Depth,qubit_count,circuit_depth,circuit_width,retention_lifespan,gate_density,dual_gate_count,measurement_density,size_factor,gate_count,entanglement_variance,PST,TVD,Entropy,Swaps,L2,Hellinger
0,13,2,2,10,-1,4,-1,-1,-1,0.9618800000000001,1.0,1.0,0.987698239503074,1,1,1.0,0.9992588698278387,0.9992588698278387,0.9992588698278387,39,0.4,1.6,1.0,2.2666666666666666,0.0,1.8,5,16,4,18,4,2.8903717578961645,0.5138888888888888,10,1.0691665297540138,3.6109179126442243,27,0.27465307216702745,0.6923828125,0.307617187425,1.244352914255111,8,0.3374896012485109,0.579480589629681
0,13,2,2,10,-1,4,-1,-1,-1,0.9666,1.0,1.0,0.9960066775234994,1,1,1.0,0.9992154886350402,0.9992154886350402,0.9992154886350402,40,0.4,1.6,1.0,2.2666666666666666,0.0,1.8,5,16,4,18,4,2.8903717578961645,0.5138888888888888,10,1.0691665297540138,3.6109179126442243,27,0.27465307216702745,0.642578125,0.357421874925,1.3763061884285221,9,0.3951881906731767,0.6298953726427933
0,13,2,2,10,0,4,-1,-1,-1,0.89408,1.0,1.0,0.9787030041079575,1,1,0.8226218323819985,0.9977600689569528,0.9977600689569528,0.9977600689569528,42,0.6,2.4,1.6,2.8,0.8666666666666668,1.4,5,16,4,18,4,2.8903717578961645,0.5138888888888888,10,1.0691665297540138,3.6109179126442243,27,0.27465307216702745,0.41796875,0.582031249925,1.7777161197848748,3,0.6439450459133358,0.840818118719642
0,13,2,2,10,0,4,-1,-1,-1,0.9810142857142855,1.0,1.0,0.9903059214318305,1,1,0.9478356623107348,0.9993905234395288,0.9993905234395288,0.9993905234395288,10,0.2857142857142857,1.7142857142857142,1.0,2.5238095238095237,0.0,2.2857142857142856,7,16,4,18,4,2.8903717578961645,0.5138888888888888,10,1.0691665297540138,3.6109179126442243,27,0.27465307216702745,0.6123046875,0.387695312425,1.5813533040444512,10,0.4107974898036317,0.6595362595875235
0,-1,-1,-1,10,-1,4,2,2,9,0.94186,1.0,1.0,0.9920411468824666,1,1,1.0,0.9990867331464692,0.9990867331464692,0.9990867331464692,22,0.0989010989010989,1.2857142857142858,0.17032967032967034,0.35714285714285715,0.0,0.2032967032967033,14,12,4,14,4,2.6390573296152584,0.5892857142857143,10,1.0063379226837874,3.4965075614664802,23,0.27465307216702745,0.423828125,0.576171874925,2.0790264727536893,4,0.6051347364883979,0.8354287499276606
0,13,2,2,10,0,4,-1,-1,-1,0.9801812500000002,1.0,1.0,0.9965097040140948,1,1,0.9811508520208536,0.9998838875255724,0.9998838875255724,0.9998838875255724,12,0.13333333333333333,2.0,1.55,2.4166666666666665,0.0,3.683333333333333,16,16,4,18,4,2.8903717578961645,0.5138888888888888,10,1.0691665297540138,3.6109179126442243,27,0.27465307216702745,0.74609375,0.253906249925,1.1214999408754318,4,0.273207213285825,0.5219720639506819
0,-1,-1,-1,10,-1,4,2,2,9,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,32,0.09166666666666666,1.375,0.16666666666666666,0.4166666666666667,0.0,0.22083333333333333,16,12,4,14,4,2.6390573296152584,0.5892857142857143,10,1.0063379226837874,3.4965075614664802,23,0.27465307216702745,1.0,0.0,-1.0000004999175666e-06,4,0.0,0.0
0,-1,-1,-1,10,-1,4,2,2,9,0.9465,0.9973176452248786,0.9986574915725124,0.9760276770720698,1,1,1.0,1.0,1.0,0.9986574915725124,0,0.12105263157894737,2.3,1.7105263157894737,2.6333333333333333,0.0,3.4842105263157896,20,12,4,14,4,2.6390573296152584,0.5892857142857143,10,1.0063379226837874,3.4965075614664802,23,0.27465307216702745,0.4833984375,0.516601562425,1.8792617821503252,4,0.5533482677388535,0.7806707725051942
0,-1,-1,-1,10,-1,4,2,2,9,0.9474200000000002,0.9991614136605266,0.9995804190102119,0.990896544278596,1,1,1.0,1.0,1.0,0.9995804190102119,4,0.12105263157894737,2.3,1.7105263157894737,2.6333333333333333,0.0,3.4842105263157896,20,12,4,14,4,2.6390573296152584,0.5892857142857143,10,1.0063379226837874,3.4965075614664802,23,0.27465307216702745,0.5576171875,0.442382812425,1.6877742149782367,4,0.4733014707538049,0.7116951993451194
0,-1,-1,-1,10,-1,4,2,2,9,0.9158800000000001,0.996439425683765,0.9982174491499871,0.9464863293600775,1,1,1.0,1.0,1.0,0.9982174491499871,15,0.12105263157894737,2.3,2.0789473684210527,2.4,0.0,3.5473684210526315,20,12,4,14,4,2.6390573296152584,0.5892857142857143,10,1.0063379226837874,3.4965075614664802,23,0.27465307216702745,0.5615234375,0.438476562425,1.4545541924362035,4,0.4948946661483137,0.7080185010139186
