id,rz,sx,x,cx,reset,measure,u1,u3,u2,AvgDegree,NumQubit,PST,TVD,Entropy,Swaps
0,-1,-1,-1,5,-1,10,1,0,20,7.0,20,0.39453125,0.6054687496,2.6865825305061897,9
0,41,20,0,5,0,10,-1,-1,-1,4.148148148148148,27,0.650390625,0.349609374705,1.781944794368946,16
0,41,20,0,5,0,10,-1,-1,-1,4.148148148148148,27,0.67578125,0.32421874969,1.7299092588916456,14
0,41,20,0,5,0,10,-1,-1,-1,4.148148148148148,27,0.7177734375,0.28222656225,1.5325259508334583,16
0,41,20,0,5,0,10,-1,-1,-1,4.148148148148148,27,0.595703125,0.40429687464999997,2.030311583789502,16
0,41,20,0,5,0,10,-1,-1,-1,4.148148148148148,27,0.5634765625,0.43652343708499997,2.257166242175223,15
0,41,20,0,5,0,10,-1,-1,-1,4.148148148148148,27,0.5419921875,0.45800781214499997,2.284078146324199,16
0,41,20,0,5,0,10,-1,-1,-1,4.148148148148148,27,0.6005859375,0.399414062165,2.039339034253262,14
0,41,20,0,5,0,10,-1,-1,-1,4.148148148148148,27,0.1328125,0.8671874990499999,4.300704224836504,16
0,-1,-1,-1,5,-1,10,1,0,20,4.285714285714286,28,0.04296875,0.9570312485399999,4.973100561405718,14
0,-1,-1,-1,5,-1,10,1,0,20,4.377358490566038,53,0.06640625,0.9335937489499999,4.61107611778745,15
0,41,20,0,5,0,10,-1,-1,-1,4.430769230769231,65,0.4736328125,0.5263671871,2.5303610681832183,18
0,41,20,0,5,0,10,-1,-1,-1,4.430769230769231,65,0.287109375,0.712890624555,2.860553796466614,18
0,41,20,0,5,0,10,-1,-1,-1,4.47244094488189,127,0.5849609375,0.41503906212499997,2.146260790246844,32
0,21,3,0,19,0,6,-1,-1,-1,3.4285714285714284,7,0.796875,0.20312499978499998,2.8657240374702146,11
0,21,3,0,19,0,6,-1,-1,-1,3.4285714285714284,7,0.7900390625,0.22558593730999998,2.841911726378953,13
0,21,3,0,19,0,6,-1,-1,-1,3.4285714285714284,7,0.876953125,0.13964843734,2.5877633158688536,11
0,21,3,0,19,0,6,-1,-1,-1,3.4285714285714284,7,0.8740234375,0.130859374845,2.5902507395128342,13
0,-1,-1,-1,19,-1,6,15,0,3,2.5714285714285716,14,0.677734375,0.32226562477,3.113221745081845,18
0,21,3,0,19,0,6,-1,-1,-1,4.0,16,0.8173828125,0.20117187480999998,2.7640915828484207,11
0,-1,-1,-1,19,-1,6,15,0,3,2.75,16,1.0,0.04296875,2.0765940688863833,17
0,-1,-1,-1,19,-1,6,15,0,3,4.6,20,0.71484375,0.303710937315,2.9039113811317825,13
0,-1,-1,-1,19,-1,6,15,0,3,4.6,20,0.8037109375,0.224609374835,2.7783917559889897,13
0,-1,-1,-1,19,-1,6,15,0,3,4.6,20,0.7529296875,0.25585937479,2.9655434292856793,13
0,-1,-1,-1,19,-1,6,15,0,3,4.6,20,0.70703125,0.29882812476,3.059172937503005,13
0,-1,-1,-1,19,-1,6,15,0,3,4.6,20,0.6328125,0.367187499755,3.25163508420294,13
